name,instagram,tiktok,spotify,genre,country,followers_est,distributor,verify
Beabadoobee,@radvxz,,beabadoobee,pop,United Kingdom,250k+,Dirty Hit,check
Rina Sawayama,@rinasonline,,Rina Sawayama,pop,United Kingdom,250k+,Dirty Hit,check
Arlo Parks,@arlo.parks,,Arlo Parks,pop,United Kingdom,250k+,Transgressive,check
Holly Humberstone,@hollyhumberstone,,Holly Humberstone,pop,United Kingdom,250k+,Polydor,check
Gracie Abrams,@gracieabrams,,Gracie Abrams,pop,United States,250k+,Interscope,check
Olivia Dean,@oliviadean,,Olivia Dean,pop,United Kingdom,100k-250k,EMI,check
Dora Jar,@dorajar,,Dora Jar,pop,United States,25k-100k,Recordkings,check
Wasia Project,@wasiaproject,,Wasia Project,pop,United Kingdom,100k-250k,Virgin,check
Samia (Nordic),@samiamusic,,,pop,Sweden,5k-25k,unknown,research
Four Tet,@four_tet,,Four Tet,electronic,United Kingdom,250k+,Text Records,check
Floating Points,@floatingpoints,,Floating Points,electronic,United Kingdom,250k+,Pluto,check
Overmono,@overmono_,,Overmono,electronic,United Kingdom,100k-250k,XL,check
Skee Mask,@skeemaskmusic,,Skee Mask,electronic,Germany,25k-100k,Ilian Tape,check
DJ Python,@dj_python,,DJ Python,electronic,United States,25k-100k,Incienso,check
Shanti Celeste,@shanticeleste,,Shanti Celeste,electronic,United Kingdom,25k-100k,Peach Discs,check
Tessela,@tessela,,Tessela,electronic,United Kingdom,25k-100k,Poly Kicks,check
India Jordan,@indiajordan_,,India Jordan,electronic,United Kingdom,25k-100k,Local Action,check
Anz,@anzmusic,,Anz,electronic,United Kingdom,25k-100k,Hessle Audio,check
Kettama,@kettama,,Kettama,electronic,Ireland,100k-250k,unknown,check
Peach,@djpeachy,,Peach,electronic,Canada,25k-100k,unknown,check
Max Cooper,@maxcoopermax,,Max Cooper,electronic,United Kingdom,100k-250k,Mesh,check
Jon Hopkins,@jonhopkinsmusic,,Jon Hopkins,electronic,United Kingdom,250k+,Domino,check
Bonobo,@si_bonobo,,Bonobo,electronic,United Kingdom,250k+,Ninja Tune,check
Helena Hauff,@helenahauff,,Helena Hauff,electronic,Germany,100k-250k,Ninja Tune,check
Floating Points (Pluto),@pluto_label,,,electronic,United Kingdom,25k-100k,Pluto,research
Batu,@batu_music,,Batu,electronic,United Kingdom,25k-100k,Timedance,check
Jamie xx,@jamiexxxxx,,Jamie xx,electronic,United Kingdom,250k+,Young,check
Caribou,@caribouband,,Caribou,electronic,Canada,250k+,City Slang,check
Rival Consoles,@rivalconsoles,,Rival Consoles,electronic,United Kingdom,100k-250k,Erased Tapes,check
Nils Frahm,@nilsfrahm,,Nils Frahm,electronic,Germany,250k+,LEITER,check
Clark,@clark_,,Clark,electronic,United Kingdom,100k-250k,Throttle,check
Actress,@actressofficial,,Actress,electronic,United Kingdom,25k-100k,Ninja Tune,check
Kara-Lis Coverdale,@karaliscoverdale,,Kara-Lis Coverdale,electronic,Canada,5k-25k,Boomkat,check
KiNK,@kinklive,,KiNK,electronic,Bulgaria,100k-250k,Running Back,check
Objekt,@objektmusic,,Objekt,electronic,United Kingdom,25k-100k,PAN,check
Lanark Artefax,@lanarkartefax,,Lanark Artefax,electronic,United Kingdom,5k-25k,Whities,check
Special Request,@specialrequest_paul,,Special Request,electronic,United Kingdom,25k-100k,Houndstooth,check
Ben UFO,@benufo,,Ben UFO,electronic,United Kingdom,100k-250k,Hessle Audio,check
Joy Orbison,@joy_orbison,,Joy Orbison,electronic,United Kingdom,100k-250k,XL,check
Pearson Sound,@pearsonsound,,Pearson Sound,electronic,United Kingdom,25k-100k,Hessle Audio,check
Pangaea,@pangaea_hessle,,Pangaea,electronic,United Kingdom,25k-100k,Hessle Audio,check
Avalon Emerson,@avalonemerson,,Avalon Emerson,electronic,United States,100k-250k,Another Dove,check
Hunee,@huneehunee,,Hunee,electronic,Germany,25k-100k,Rush Hour,check
Call Super,@call_super,,Call Super,electronic,United Kingdom,25k-100k,Incienso,check
SHERELLE,@sherelledjs,,SHERELLE,electronic,United Kingdom,100k-250k,BEAUTIFUL,check
Kode9,@kode9,,Kode9,electronic,United Kingdom,25k-100k,Hyperdub,check
Burial,@burial_,,Burial,electronic,United Kingdom,250k+,Hyperdub,check
Jlin,@jlinofficial,,Jlin,electronic,United States,25k-100k,Planet Mu,check
Lena Willikens,@lenawillikens,,Lena Willikens,electronic,Germany,25k-100k,Phantasy,check
Ben Klock,@benklock,,Ben Klock,electronic,Germany,100k-250k,Klockworks,check
Nina Kraviz,@ninakraviz,,Nina Kraviz,electronic,Russia,250k+,трип,check
Honey Dijon,@honeydijon,,Honey Dijon,electronic,United States,250k+,Classic,check
Sama Abdulhadi,@sama_abdulhadi,,Sama Abdulhadi,electronic,Palestine,100k-250k,unknown,check
Dixon,@dixon,,Dixon,electronic,Germany,250k+,Innervisions,check
Dj Seinfeld,@djseinfeld,,DJ Seinfeld,electronic,Sweden,100k-250k,Young Ethics,check
Axel Boman,@axelboman,,Axel Boman,electronic,Sweden,25k-100k,Pampa,check
Skatebård,@skatebard,,Skatebård,electronic,Norway,25k-100k,Tellé,check
Todd Terje,@toddterje,,Todd Terje,electronic,Norway,100k-250k,Olsen Records,check
Lindstrøm,@lindstrom,,Lindstrøm,electronic,Norway,100k-250k,Feedelity,check
Prins Thomas,@prinsthomas,,Prins Thomas,electronic,Norway,25k-100k,Full Pupp,check
Trentemøller,@trentemoller,,Trentemøller,electronic,Denmark,250k+,In My Room,check
Kiasmos,@kiasmos,,Kiasmos,electronic,Iceland,100k-250k,Erased Tapes,check
Ólafur Arnalds,@olafurarnalds,,Ólafur Arnalds,electronic,Iceland,250k+,Mercury KX,check
Agnes Obel,@agnesobel,,Agnes Obel,electronic,Denmark,250k+,Deutsche Grammophon,check
Erika de Casier,@erikadecasier,,Erika de Casier,R&B,Denmark,100k-250k,4AD,check
Cleo Sol,@cleosol,,Cleo Sol,R&B,United Kingdom,100k-250k,Forever Living Originals,check
Sault,,,Sault,R&B,United Kingdom,250k+,Forever Living Originals,check
Sabrina Claudio,@sabrinaclaudio,,Sabrina Claudio,R&B,United States,250k+,Atlantic,check
Amber Mark,@ambermark,,Amber Mark,R&B,United States,100k-250k,PMR,check
Joyce Wrice,@joycewrice,,Joyce Wrice,R&B,United States,100k-250k,Joyce Wrice Music,check
Umi,@whoisumi,,Umi,R&B,United States,250k+,RCA,check
Ama Lou,@amalou,,Ama Lou,R&B,United Kingdom,25k-100k,unknown,check
Kelsey Lu,@kelseylu,,Kelsey Lu,R&B,United States,25k-100k,Columbia,check
Dornik,@dornikleigh,,Dornik,R&B,United Kingdom,25k-100k,PMR,check
Ravyn Lenae,@ravynlenae,,Ravyn Lenae,R&B,United States,250k+,Atlantic,check
Snoh Aalegra,@snohaalegra,,Snoh Aalegra,R&B,Sweden,250k+,ARTium,check
IDER,@ider,,IDER,R&B,United Kingdom,25k-100k,Glassnote,check
Nao,@naomusic,,NAO,R&B,United Kingdom,250k+,Little Tokyo,check
Jorja Smith,@jorjasmith_,,Jorja Smith,R&B,United Kingdom,250k+,FAMM,check
Mahalia,@mahalia,,Mahalia,R&B,United Kingdom,250k+,Atlantic,check
Steve Lacy,@stevelacy,,Steve Lacy,R&B,United States,250k+,L-M,check
Masego,@masego,,Masego,R&B,United States,250k+,EQT,check
Tom Misch,@tommisch,,Tom Misch,R&B,United Kingdom,250k+,Beyond the Groove,check
Yebba,@yebbasmith,,YEBBA,R&B,United States,100k-250k,RCA,check
Pip Millett,@pipmillett,,Pip Millett,R&B,United Kingdom,25k-100k,MOVES,check
Greentea Peng,@greenteapeng,,Greentea Peng,R&B,United Kingdom,100k-250k,AMF,check
Lianne La Havas,@liannelahavas,,Lianne La Havas,R&B,United Kingdom,250k+,Warner,check
Jessie Reyez,@jessiereyez,,Jessie Reyez,R&B,Canada,250k+,Island,check
Sampha,@sampha,,Sampha,R&B,United Kingdom,250k+,Young,check
Hiatus Kaiyote,@hiatuskaiyote,,Hiatus Kaiyote,R&B,Australia,250k+,Brainfeeder,check
Jamila Woods,@jamilawoods,,Jamila Woods,R&B,United States,100k-250k,Jagjaguwar,check
Noname,@nonamehiding,,Noname,R&B,United States,250k+,unknown,check
Smino,@smino,,Smino,R&B,United States,250k+,Zero Fatigue,check
Moses Sumney,@mosessumney,,Moses Sumney,R&B,United States,250k+,Jagjaguwar,check
serpentwithfeet,@serpentwithfeet,,serpentwithfeet,R&B,United States,100k-250k,Secretly Canadian,check
Arca,@arca1000000,,Arca,R&B,Venezuela,250k+,XL,check
ABRA,@abracadabra,,ABRA,R&B,United States,100k-250k,Awful Records,check
Duckwrth,@duckwrth,,Duckwrth,R&B,United States,100k-250k,Republic,check
Kaytranada,@kaytranada,,Kaytranada,R&B,Canada,250k+,RCA,check
Thundercat,@thundercatmusic,,Thundercat,R&B,United States,250k+,Brainfeeder,check
Hobo Johnson,@hobo.johnson,,Hobo Johnson,R&B,United States,100k-250k,Reprise,check
Seinabo Sey,@seinabosey,,Seinabo Sey,R&B,Sweden,100k-250k,Universal,check
Sabina Ddumba,@sabinaddumba,,Sabina Ddumba,R&B,Sweden,25k-100k,Warner,check
Daniela Rathana,@danielarathana,,Daniela Rathana,R&B,Sweden,5k-25k,unknown,research
Danny Saucedo,@dannysaucedo,,Danny Saucedo,pop,Sweden,100k-250k,unknown,research
Veronica Maggio,@veronicamaggio,,Veronica Maggio,pop,Sweden,250k+,Universal,check
Laleh,@laleh,,Laleh,pop,Sweden,250k+,Lost Army,check
Elsa Håkansson,@elsahakansson,,Elsa Håkansson,pop,Sweden,5k-25k,unknown,research
Frida Sundemo,@fridasundemo,,Frida Sundemo,pop,Sweden,25k-100k,unknown,research
Tove Styrke,@tovestyrke,,Tove Styrke,pop,Sweden,100k-250k,Sony,check
Zara Larsson,@zaralarsson,,Zara Larsson,pop,Sweden,250k+,Epic,check
MØ,@momomoyouth,,MØ,pop,Denmark,250k+,Chess Club,check
Iceage,@iceageband,,Iceage,electronic,Denmark,25k-100k,Matador,check
Lil Tecca,@liltecca,,Lil Tecca,trap,United States,250k+,Galactic,check
Comethazine,@comethazine,,Comethazine,trap,United States,250k+,Alamo,check
Lil Keed,@lilkeed,,Lil Keed,trap,United States,250k+,YSL,check
OhGeesy,@ohgeesy,,OhGeesy,trap,United States,250k+,Atlantic,check
SSGKobe,@ssgkobe,,SSGKobe,trap,United States,100k-250k,Motown,check
Nessly,@nessly,,Nessly,trap,United States,100k-250k,unknown,check
Almighty Jay,@almightyjay,,A Boogie wit da Hoodie,trap,United States,100k-250k,Atlantic,research
Rico Nasty,@riconasty,,Rico Nasty,trap,United States,250k+,Sugar Trap,check
BbyGoth,@bbygoth,,BbyGoth,trap,United States,25k-100k,unknown,research
Yeat,@yeatpresident,,Yeat,trap,United States,250k+,Geffen,check
Ken Carson,@lilkencarson,,Ken Carson,trap,United States,250k+,Opium,check
Destroy Lonely,@destroylonely,,Destroy Lonely,trap,United States,250k+,Opium,check
SoFaygo,@sofaygo,,SoFaygo,trap,United States,250k+,Cactus Jack,check
KayCyy,@kaycyy,,KayCyy,trap,United States,100k-250k,GOOD,check
KidSuper,@kidsuper,,KidSuper,trap,United States,100k-250k,unknown,check
Autumn!,@autumnalmighty,,Autumn!,trap,United States,100k-250k,Opium,check
Homixide Gang,@homixide__gang,,Homixide Gang,trap,United States,100k-250k,Opium,check
Nettspend,@nettspend,,Nettspend,trap,United States,100k-250k,unknown,check
Osamason,@osamason,,Osamason,trap,United States,100k-250k,unknown,check
TiaCorine,@tiacorine,,TiaCorine,trap,United States,100k-250k,unknown,check
Veeze,@veezeofthebay,,Veeze,trap,United States,100k-250k,unknown,check
RXKNephew,@rxknephew,,RXKNephew,trap,United States,100k-250k,unknown,check
BabyTron,@babytron,,BabyTron,trap,United States,100k-250k,EMPIRE,check
Dro Kenji,@drokenji,,Dro Kenji,trap,United States,100k-250k,Internet Money,check
Summrs,@summrs,,Summrs,trap,United States,100k-250k,Internet Money,check
Kankan,@kankan,,Kankan,trap,United States,100k-250k,unknown,check
Bktherula,@bktherula,,Bktherula,trap,United States,100k-250k,Warner,check
Hunxho,@hunxho,,Hunxho,trap,United States,100k-250k,300,check
LUCKI,@lucki,,Lucki,trap,United States,250k+,Empire,check
Whoisakar,@akar,,Akar,trap,United States,100k-250k,unknown,check
TRIPPY TURTLE,@trippy_turtle,,Trippy Turtle,EDM,Norway,25k-100k,OWSLA,check
Cashmere Cat,@cashmerecat,,Cashmere Cat,EDM,Norway,250k+,Mad Decent,check
Alan Walker,@alanwalkermusic,,Alan Walker,EDM,Norway/UK,250k+,MER Musikk,check
Kygo,@kygomusic,,Kygo,EDM,Norway,250k+,Palm Tree,check
Matoma,@matoma,,Matoma,EDM,Norway,250k+,Big Beat,check
Boris Brejcha,@borisbrejcha,,Boris Brejcha,EDM,Germany,250k+,Harthouse,check
Paul Kalkbrenner,@paulkalkbrenner,,Paul Kalkbrenner,EDM,Germany,250k+,Columbia,check
Stephan Bodzin,@stephanbodzin,,Stephan Bodzin,EDM,Germany,100k-250k,Herzblut,check
Solomun,@solomun,,Solomun,EDM,Germany,250k+,Diynamic,check
Âme,@ame_de,,Âme,EDM,Germany,100k-250k,Innervisions,check
Adriatique,@adriatique,,Adriatique,EDM,Switzerland,250k+,unknown,check
Bicep,@feelmybicep,,Bicep,EDM,United Kingdom,250k+,Ninja Tune,check
Joris Voorn,@jorisvoorn,,Joris Voorn,EDM,Netherlands,250k+,Rejected,check
Maceo Plex,@maceoplex,,Maceo Plex,EDM,United States,250k+,Ellum,check
Tale of Us,@taleofus,,Tale of Us,EDM,Italy,250k+,Afterlife,check
Mind Against,@mindagainst,,Mind Against,EDM,Germany,100k-250k,Afterlife,check
Mathame,@mathame,,Mathame,EDM,Italy,100k-250k,Afterlife,check
Âme,@ame_de,,Ame,EDM,Germany,100k-250k,Innervisions,duplicate
ARTBAT,@artbat.music,,ARTBAT,EDM,Ukraine,250k+,Upperground,check
Charlotte de Witte,@charlottedewitte,,Charlotte de Witte,EDM,Belgium,250k+,KNTXT,check
Amelie Lens,@amelie_lens,,Amelie Lens,EDM,Belgium,250k+,Exhale,check
ANNA,@annadj,,ANNA,EDM,Brazil,100k-250k,Anamana,check
Mochakk,@mochakk,,Mochakk,EDM,Brazil,100k-250k,Cuttin' Headz,check
Vintage Culture,@vintageculture,,Vintage Culture,EDM,Brazil,250k+,Spinnin,check
Fred Again..,@fredagainagainagain,,Fred again..,EDM,United Kingdom,250k+,Atlantic,check
Four Tet (EDM),@four_tet,,Four Tet,EDM,United Kingdom,250k+,Text,duplicate
Peggy Gou,@peggygou_,,Peggy Gou,EDM,South Korea,250k+,Gudu,check
Honey Dijon (EDM),@honeydijon,,Honey Dijon,EDM,United States,250k+,Classic,duplicate
Jamie Jones,@jamiejones,,Jamie Jones,EDM,United Kingdom,250k+,Hot Creations,check
Seth Troxler,@sethtroxler,,Seth Troxler,EDM,United States,100k-250k,unknown,check
Lee Burridge,@leeburridge,,Lee Burridge,EDM,United Kingdom,100k-250k,All Day I Dream,check
KI/KI,@kikiofkikiofkiki,,KI/KI,EDM,Netherlands,25k-100k,unknown,check
Sama Abdulhadi,@sama_abdulhadi,,Sama Abdulhadi,EDM,Palestine,100k-250k,unknown,duplicate
Partiboi69,@partiboi69,,Partiboi69,EDM,Australia,100k-250k,unknown,check
Denis Sulta,@denis_sulta,,Denis Sulta,EDM,United Kingdom,100k-250k,Sulta Selects,check
Eris Drew,@erisdrew,,Eris Drew,EDM,United States,25k-100k,T4T LUV NRG,check
Octo Octa,@octo_octa,,Octo Octa,EDM,United States,25k-100k,T4T LUV NRG,check
Palms Trax,@palmstrax,,Palms Trax,EDM,Germany,25k-100k,Lobster Theremin,check
Mall Grab,@mallgrab,,Mall Grab,EDM,Australia,100k-250k,Steel City Dance Discs,check
Jayda G,@jaydagmusic,,Jayda G,EDM,Canada,100k-250k,Ninja Tune,check
Logic1000,@logic1000,,Logic1000,EDM,Australia,25k-100k,Therapy,check
Kornél Kovács,@kornelkovacs,,Kornél Kovács,EDM,Sweden,25k-100k,Studio Barnhus,check
Baba Stiltz,@babastiltz,,Baba Stiltz,EDM,Sweden,25k-100k,Studio Barnhus,check
Pedrodollar,@pedrodollar,,Pedrodollar,EDM,Sweden,5k-25k,Studio Barnhus,research
HAAi,@haai,,HAAi,EDM,Australia,25k-100k,Mute,check
Saoirse,@saoirsedj,,Saoirse,EDM,United Kingdom,25k-100k,unknown,check
Marie Davidson,@mariedavidson_,,Marie Davidson,electronic,Canada,25k-100k,Ninja Tune,check
Tirzah,@tirzah_tirzah,,Tirzah,R&B,United Kingdom,25k-100k,Domino,check
Sega Bodega,@segabodega,,Sega Bodega,electronic,United Kingdom,25k-100k,NUXXE,check
Yaeji,@yaeji,,Yaeji,electronic,United States,250k+,XL,check
Vegyn,@vegynforever,,Vegyn,electronic,United Kingdom,100k-250k,PLZ Make It Ruins,check
Alfa Mist,@alfamist,,Alfa Mist,R&B,United Kingdom,100k-250k,Anti,check
Nubya Garcia,@nubyagarcia,,Nubya Garcia,R&B,United Kingdom,100k-250k,Concord Jazz,check
Yussef Dayes,@yussefdayes,,Yussef Dayes,R&B,United Kingdom,100k-250k,Brownswood,check
Ezra Collective,@ezracollectiv3,,Ezra Collective,R&B,United Kingdom,100k-250k,Partisan,check
Little Simz,@littlesimz,,Little Simz,hip-hop,United Kingdom,250k+,AGE 101,check
slowthai,@slowthai,,slowthai,hip-hop,United Kingdom,250k+,Method,check
Loyle Carner,@loylecarner,,Loyle Carner,hip-hop,United Kingdom,250k+,AMF,check
Dave,@santandave,,Dave,hip-hop,United Kingdom,250k+,Neighbourhood,check
Central Cee,@centralcee,,Central Cee,hip-hop,United Kingdom,250k+,unknown,check
Knucks,@knucks,,Knucks,hip-hop,United Kingdom,100k-250k,unknown,check
Pa Salieu,@pasalieu,,Pa Salieu,hip-hop,United Kingdom,100k-250k,Warner,check
Kojey Radical,@kojeyradical,,Kojey Radical,hip-hop,United Kingdom,100k-250k,AMF,check
Shy FX,@djshyfx,,Shy FX,EDM,United Kingdom,100k-250k,Cult,check
Chase & Status,@chaseandstatus,,Chase & Status,EDM,United Kingdom,250k+,EMI,check
Skream,@skreamizm,,Skream,EDM,United Kingdom,250k+,unknown,check
Jayda G,@jaydagmusic,,Jayda G,EDM,Canada,100k-250k,Ninja Tune,duplicate
Lone,@lonebr,,Lone,electronic,United Kingdom,25k-100k,R&S,check
Machinedrum,@machinedrum,,Machinedrum,electronic,United States,100k-250k,Ninja Tune,check
Ross From Friends,@rossfromfriends,,Ross From Friends,electronic,United Kingdom,100k-250k,Ninja Tune,check
Logic1000,@logic1000,,Logic1000,electronic,Australia,25k-100k,Therapy,duplicate
Nix Northwest,@nixnorthwest,,Nix Northwest,hip-hop,United States,5k-25k,unknown,research
2hollis,@2hollis,,2hollis,electronic,United States,100k-250k,unknown,check
underscores,@underscores888,,underscores,electronic,United States,100k-250k,Corporate Rock Music,check
Jane Remover,@jane.remover,,Jane Remover,electronic,United States,100k-250k,deadAir,check
Quadeca,@quadeca,,Quadeca,hip-hop,United States,250k+,unknown,check
bladee,@thrash_era,,Bladee,hip-hop,Sweden,250k+,YEAR0001,check
Ecco2k,@ecco2k,,Ecco2k,hip-hop,Sweden,100k-250k,YEAR0001,check
Thaiboy Digital,@thaiboydigital,,Thaiboy Digital,hip-hop,Thailand,100k-250k,YEAR0001,check
Yung Lean,@yunglean,,Yung Lean,hip-hop,Sweden,250k+,YEAR0001,check
Mall Grab,@mallgrab,,Mall Grab,EDM,Australia,100k-250k,Steel City Dance Discs,duplicate
Aiko,@aikoo_world,,Aiko,pop,Sweden,5k-25k,unknown,research
Erika Selin,@erikaselin,,Erika Selin,pop,Sweden,5k-25k,unknown,research
Icona,@iconamusic,,Icona Pop,EDM,Sweden,250k+,Big Beat,check
Mapei,@mapei,,Mapei,pop,Sweden,25k-100k,Downtown,check
Little Jinder,@littlejinder,,Little Jinder,pop,Sweden,25k-100k,unknown,check
