artist,track,isrc,source,chart,isrc_source,release_date,eligibility
Doechii,What It Is (Block Boy) ft. Kodak Black,,manual,female-rappers-2025,miss,,UNKNOWN
Doechii,Alter Ego,USUG12403537,manual,female-rappers-2025,deezer,2025-11-22,FULL (0.3yr old)
Doechii,Boom Bap,USUG12405565,manual,female-rappers-2025,musicbrainz,2024-08-23,FULL (1.6yr old)
Sexyy Red,SkeeYee,QZQAY2395569,manual,female-rappers-2025,musicbrainz,2023-12-01,FULL (2.3yr old)
Sexyy Red,Pound Town ft. Tay Keith,QZQAY2341201,manual,female-rappers-2025,deezer,2023-05-26,FULL (2.8yr old)
Sexyy Red,Pound Town 2 ft. Nicki Minaj & Tay Keith,,manual,female-rappers-2025,miss,,UNKNOWN
Sexyy Red,Get It Sexyy,QZSYP2454435,manual,female-rappers-2025,musicbrainz,2024-03-15,FULL (2.0yr old)
Sexyy Red,Born By The River,USA2P2228363,manual,female-rappers-2025,musicbrainz,2023-12-01,FULL (2.3yr old)
Sexyy Red,U My Everything ft. SZA,,manual,female-rappers-2025,miss,,UNKNOWN
Sexyy Red,Shake Dat Ass ft. Tay Keith,,manual,female-rappers-2025,miss,,UNKNOWN
Sexyy Red,Rich Baby Daddy ft. Drake & SZA,USUG12306085,manual,female-rappers-2025,musicbrainz,,UNKNOWN
Ice Spice,Munch (Feelin U),USUG12300557,manual,female-rappers-2025,musicbrainz,2022-08-10,PARTIAL (2022)
Ice Spice,In Ha Mood,USUG12300367,manual,female-rappers-2025,musicbrainz,2023-01-06,FULL (3.2yr old)
Ice Spice,Barbie World ft. Nicki Minaj & Aqua,,manual,female-rappers-2025,miss,,UNKNOWN
Ice Spice,Deli,USUG12306326,manual,female-rappers-2025,musicbrainz,2023-07-21,FULL (2.7yr old)
Ice Spice,Boy's a Liar Pt. 2 ft. PinkPantheress,,manual,female-rappers-2025,miss,,UNKNOWN
Ice Spice,Think U the Best,,manual,female-rappers-2025,miss,,UNKNOWN
Ice Spice,Princess Diana ft. Nicki Minaj,,manual,female-rappers-2025,miss,,UNKNOWN
Ice Spice,Bikini Bottom,USUG12300549,manual,female-rappers-2025,musicbrainz,2022-10-28,PARTIAL (2022)
Flo Milli,Conceited,USRC12202154,manual,female-rappers-2025,musicbrainz,2022-07-19,PARTIAL (2022)
Flo Milli,Weak,USRC12002242,manual,female-rappers-2025,musicbrainz,2020-07-10,PARTIAL (2020)
Flo Milli,Fruit Punch,,manual,female-rappers-2025,miss,,UNKNOWN
Flo Milli,In The Party,USRC11903470,manual,female-rappers-2025,musicbrainz,2019-10-28,PARTIAL (2019)
Flo Milli,Never Lose Me (Remix) ft. GloRilla,,manual,female-rappers-2025,miss,,UNKNOWN
Flo Milli,Send It (Remix),,manual,female-rappers-2025,miss,,UNKNOWN
Flo Milli,PBC ft. BRS Kash,,manual,female-rappers-2025,miss,,UNKNOWN
BabyDrill,Knocked Off,USAT22600782,manual,female-rappers-2025,deezer,2026-02-25,FULL (0.1yr old)
BabyDrill,Just Want You ft. Hunxho,USRC12400161,manual,female-rappers-2025,deezer,2024-02-07,FULL (2.1yr old)
BabyDrill,30 Deep ft. 21 Savage,USRC12500976,manual,female-rappers-2025,deezer,2025-05-21,FULL (0.8yr old)
BabyDrill,Wicked West,USRC12500023,manual,female-rappers-2025,deezer,2025-01-25,FULL (1.2yr old)
BabyDrill,ISSA PARTY ft. Latto,,manual,female-rappers-2025,miss,,UNKNOWN
Monaleo,We Not Humping (Remix),QM4TX2237923,manual,female-rappers-2025,musicbrainz,2022-04-21,PARTIAL (2022)
Monaleo,Beating Down Yo Block,QM4TX2106805,manual,female-rappers-2025,musicbrainz,2023-05-26,FULL (2.8yr old)
Monaleo,Don Who Leo (Blanco & Reposado Remix) ft. Skilla Baby & Anycia,QMBZ92441044,manual,female-rappers-2025,musicbrainz,2024-08-30,FULL (1.6yr old)
Monaleo,Here We Go,,manual,female-rappers-2025,miss,,UNKNOWN
Doja Cat,Agora Hills (Remix) ft. Nicki Minaj,USRC12302416,manual,female-rappers-2025,,,UNKNOWN
Doja Cat,97 (Remix) ft. Doechii,,manual,female-rappers-2025,miss,,UNKNOWN
Doja Cat,MOOO! (Remix),,manual,female-rappers-2025,miss,,UNKNOWN
Doja Cat,Bottom Bitch ft. Bree Runway,,manual,female-rappers-2025,miss,,UNKNOWN
Latto,Sunday Service (Remix) ft. Megan Thee Stallion & Flo Milli,,manual,female-rappers-2025,miss,2023-06-02,FULL (2.8yr old)
Latto,Lottery (Remix) ft. Cardi B,,manual,female-rappers-2025,miss,,UNKNOWN
Latto,Big Energy (Remix) ft. Mariah Carey & DJ Khaled,,manual,female-rappers-2025,miss,2024-11-22,FULL (1.3yr old)
Latto,Wheelie ft. 21 Savage,USRC12200362,manual,female-rappers-2025,deezer,2022-03-25,PARTIAL (2022)
Latto,Put It On Da Floor Again ft. Cardi B,USRC12301450,manual,female-rappers-2025,deezer,2023-06-02,FULL (2.8yr old)
Latto,Seven (Remix) ft. Jung Kook & Latto,USA2P2335053,manual,female-rappers-2025,musicbrainz,2023-08-25,FULL (2.6yr old)
Cardi B,Like What (Freestyle),USAT22401676,manual,female-rappers-2025,musicbrainz,2024-02-29,FULL (2.1yr old)
Cardi B,Bongos ft. Megan Thee Stallion,USAT22309427,manual,female-rappers-2025,deezer,2023-09-08,FULL (2.5yr old)
Cardi B,Tomorrow 2 (Remix) ft. GloRilla,,manual,female-rappers-2025,miss,,UNKNOWN
Cardi B,Hot Shit ft. Ye & Lil Durk,USAT22208515,manual,female-rappers-2025,musicbrainz,2022,PARTIAL (2022)
Cardi B,Enough (Miami),USAT22401681,manual,female-rappers-2025,musicbrainz,2024-03-15,FULL (2.0yr old)
Megan Thee Stallion,Cobra,USAT22312437,manual,female-rappers-2025,musicbrainz,2023-11-08,FULL (2.4yr old)
Megan Thee Stallion,Her,USAT22212377,manual,female-rappers-2025,musicbrainz,2022-08-11,PARTIAL (2022)
Megan Thee Stallion,Mamushi ft. Yuki Chiba,USAT22405478,manual,female-rappers-2025,deezer,2024-06-27,FULL (1.7yr old)
Megan Thee Stallion,HISS,USATV2400232,manual,female-rappers-2025,musicbrainz,2024-01-26,FULL (2.2yr old)
Megan Thee Stallion,Caramel Latte,,manual,female-rappers-2025,miss,,UNKNOWN
Megan Thee Stallion,Savage (Remix) ft. Beyonce,QMCE32000145,manual,female-rappers-2025,deezer,2020-04-29,PARTIAL (2020)
Nicki Minaj,Super Freaky Girl (Remix) ft. BIA,,manual,female-rappers-2025,miss,,UNKNOWN
Nicki Minaj,Red Ruby Da Sleeze,USUM72302707,manual,female-rappers-2025,musicbrainz,2023-03-03,FULL (3.1yr old)
Nicki Minaj,Needle ft. Drake,,manual,female-rappers-2025,miss,,UNKNOWN
Nicki Minaj,FTCU (Remix) ft. Travis Scott Drake & Lil Wayne,,manual,female-rappers-2025,miss,2023-12-08,FULL (2.3yr old)
Nicki Minaj,Big Difference,USUM72313569,manual,female-rappers-2025,musicbrainz,2023-12-08,FULL (2.3yr old)
Glorilla,Hollon (Remix) ft. Latto & BeatKing,,manual,female-rappers-2025,miss,2014,CHECK — streaming? (2014)
BIA,WHOLE LOTTA MONEY (Remix) ft. Nicki Minaj,USSM12104708,manual,female-rappers-2025,deezer,2021-07-09,PARTIAL (2021)
BIA,London ft. J. Cole,USSM12200193,manual,female-rappers-2025,deezer,2022-04-08,PARTIAL (2022)
BIA,BESITO ft. Russ,,manual,female-rappers-2025,miss,,UNKNOWN
Kali,Are You With That ft. GloRilla,,manual,female-rappers-2025,miss,,UNKNOWN
Kali,Coming Home (Remix),,manual,female-rappers-2025,miss,,UNKNOWN
Yung Miami,Rap Freaks,USUG12102679,manual,female-rappers-2025,deezer,2021-10-29,PARTIAL (2021)
Yung Miami,Toot Toot ft. Latto,,manual,female-rappers-2025,miss,,UNKNOWN
Yung Miami,Praising Him ft. Kodak Black,,manual,female-rappers-2025,miss,,UNKNOWN
Cuban Doll,Bankrupt (Remix),,manual,female-rappers-2025,miss,,UNKNOWN
Cuban Doll,Pull Up (Remix) ft. K. Michelle,,manual,female-rappers-2025,miss,,UNKNOWN
JT (City Girls),No Bars,USUG12300045,manual,female-rappers-2025,deezer,2023-07-14,FULL (2.7yr old)
JT (City Girls),Do We Have A Problem ft. Nicki Minaj,,manual,female-rappers-2025,miss,,UNKNOWN
Maliibu Miitch,Bad Girls Club (Remix),,manual,female-rappers-2025,miss,,UNKNOWN
Maliibu Miitch,OMG ft. Babyface Ray,,manual,female-rappers-2025,miss,,UNKNOWN
YKNIECE,Too Fly ft. Hunxho,,manual,female-rappers-2025,miss,,UNKNOWN
YKNIECE,All The Way Up (Remix),,manual,female-rappers-2025,miss,,UNKNOWN
Yaya Boo,Off Rip (Remix),,manual,female-rappers-2025,miss,,UNKNOWN
Bossy Envy,Pull Up (Remix),,manual,female-rappers-2025,miss,,UNKNOWN
