artist,track,isrc,source,chart,isrc_source,release_date,eligibility
Koryn Hawthorne,Won't He Do It (Remix),USA5W1700215,manual,gospel-soul-2025,deezer,2018-07-13,CHECK — streaming? (2018)
Koryn Hawthorne,Speak the Name ft. Charles Jenkins,,manual,gospel-soul-2025,miss,,UNKNOWN
Koryn Hawthorne,Unstoppable (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Kierra Sheard,It Keeps Happening (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Kierra Sheard,You Don't Know (Remix) ft. Missy Elliott,,manual,gospel-soul-2025,miss,,UNKNOWN
Kierra Sheard,Indescribable ft. Tasha Cobbs Leonard,,manual,gospel-soul-2025,miss,,UNKNOWN
Erica Campbell,I Luh God (Remix) ft. Lecrae,,manual,gospel-soul-2025,miss,,UNKNOWN
Erica Campbell,Help (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Mary Mary,Go Get It (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Mary Mary,Shackles (Remix) (Praise You),USSM10015898,manual,gospel-soul-2025,deezer,2000-09-26,CHECK — streaming? (2000)
Tamela Mann,Take Me to the King (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Tamela Mann,Change Me (Remix) ft. Kirk Franklin,,manual,gospel-soul-2025,miss,,UNKNOWN
Tamela Mann,This Place (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Le'Andria Johnson,Jesus (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Le'Andria Johnson,I Need Your Glory (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Mali Music,Beautiful (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Mali Music,Make Room (Remix) ft. Jonathan McReynolds,,manual,gospel-soul-2025,miss,,UNKNOWN
Mali Music,Ready Aim (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Travis Greene,Made a Way (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Travis Greene,Intentional (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Travis Greene,You Waited (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Travis Greene,While I'm Waiting (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Brandon Lake,Gratitude (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Brandon Lake,Hard Fought Hallelujah (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Brandon Lake,Talking to Jesus (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Chandler Moore,Available (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Chandler Moore,Jireh (Remix) ft. Maverick City,,manual,gospel-soul-2025,miss,,UNKNOWN
Naomi Raine,Promises (Remix) ft. Maverick City,,manual,gospel-soul-2025,miss,,UNKNOWN
Naomi Raine,You're Gonna Be Okay (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Cece Winans,Goodness of God (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Cece Winans,Never Lost (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Cece Winans,Believe for It (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Deitrick Haddon,Well Done (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Deitrick Haddon,Sinner's Prayer (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
William McDowell,Withholding Nothing (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
William McDowell,Sounds of Heaven (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
DOE,Testimony (Remix),QZJG51972400,manual,gospel-soul-2025,deezer,2019-12-06,PARTIAL (2019)
Hezekiah Walker,Every Praise (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Hezekiah Walker,Better (Remix) ft. Donald Lawrence,,manual,gospel-soul-2025,miss,,UNKNOWN
Fred Hammond,No Weapon (Remix),USA5W2300780,manual,gospel-soul-2025,deezer,1998-01-27,CHECK — streaming? (1998)
Fred Hammond,Glorious (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Donald Lawrence,Encourage Yourself (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Donald Lawrence,I Am God (Remix) ft. Le'Andria Johnson,,manual,gospel-soul-2025,miss,,UNKNOWN
Jekalyn Carr,You're Bigger (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Jekalyn Carr,Greater Is Coming (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Jekalyn Carr,One Nation Under God (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
